AMBALA,0,10
BHIWANI,11,23
FARIDABAD,24,36
FATEHABAD,37,49
GURUGRAM,50,62
HISAR,63,76
JHAJJAR,77,88
JIND,89,101
KAITHAL,102,114
KARNAL,115,127
KURUKSHETRA,128,140
MAHENDRAGARH,141,153
NUH,154,162
PALWAL,163,170
PANCHKULA,171,183
PANIPAT,184,193
REWARI,197,209
ROHTAK,210,222
SIRSA,223,235
SONIPAT,236,248
YAMUNANAGAR,249,261
AMRITSAR,262,277
BARNALA,278,290
BATHINDA,291,303
FARIDKOT,304,316
FATEGARH SAHIB,317,329
FAZILKA,330,332
FIROZPUR,333,336
GURDASPUR,337,349
HOSHIARPUR,350,362
JALANDHAR,363,377
KAPURTHALA,378,390
LUDHIANA,391,407
MANSA,408,420
MOGA,421,433
MUKTSAR,434,446
PATHANKOT,446,449
PATIALA,450,462
RUPNAGAR,463,475
SAHIBZADA AJIT SINGH NAGAR,476,483
SANGRUR,484,496
SHAHEED BHAGAT SINGH NAGAR,497,502
TARN TARAN,503,515
AJMER ,516,528
ALWAR,529,541
BANASWARA,542,554
BARAN,555,567
BARMER,568,580
BHARATPUR,581,593
BHILWARA,594,606
BIKANER,607,619
BUNDI,620,632
CHITTORGRAH,633,645
CHURU,646,658
DAUSA,659,671
DHAULPUR ,672,684
DUNGAPUR,685,697
HAMUNANGARH,698,710
JAIPUR,711,750
JAISALMER,751,763
JALOR,764,776
JHALAWAR,777,789
JHUNJHUNUN,790,802
JODHPUR,803,819
KARAULI,820,832
KOTA,833,853
NAGUAR,854,866
PALI,867,879
PRATAPGARH,880,885
RAJSAMAND,886,898
SAWAI MADHOPUR,899,911
SIKAR,912,924
SIROHI,925,937
SRI GANGANAGAR,938,950
TONK,951,963
UDAIPUR,964,976
