@relation HARYANA

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}

@data
11,32,11,27,0,132,0
15,18,7,17,0,122,0
10,24,7,17,31,129,0
10,22,11,25,27,227,0
19,19,9,19,16,130,0
19,16,9,26,27,174,0
23,10,16,11,15,154,0
35,49,11,27,21,172,0
28,16,14,18,17,155,0
30,23,9,20,14,220,0
37,23,5,28,20,191,0
10,7,33,17,0,43,1
17,13,35,29,0,54,1
15,7,28,17,0,69,1
28,12,28,19,0,68,1
18,22,19,20,16,87,1
35,26,19,38,8,100,1
17,23,17,23,15,128,1
33,36,14,24,20,111,1
37,53,17,37,21,88,1
30,36,22,45,15,64,1
41,30,18,26,12,97,1
28,69,19,45,23,179,1
52,118,20,97,36,144,1
37,53,19,47,242,108,2
37,39,19,56,1122,92,2
36,49,14,34,980,136,2
42,49,28,45,585,157,2
39,67,18,42,253,188,2
40,66,14,35,144,146,2
37,117,19,23,0,167,2
46,94,21,23,97,173,2
35,62,17,26,4,179,2
51,86,23,27,78,224,2
54,82,10,31,59,218,2
47,87,8,31,84,197,2
65,115,22,90,56,255,2
17,13,17,17,0,93,3
7,15,9,22,5,54,3
7,7,3,11,4,47,3
9,9,6,17,3,38,3
9,15,5,17,8,66,3
18,5,6,17,7,83,3
7,8,2,16,12,122,3
12,21,4,16,13,143,3
9,34,12,10,7,80,3
21,31,5,13,9,79,3
15,18,7,6,8,86,3
15,33,4,7,7,125,3
30,41,2,46,25,193,3
0,2,5,1,26,0,4
1,0,14,1,58,0,4
1,0,3,0,50,0,4
2,0,7,3,111,0,4
2,2,7,2,116,0,4
1,1,6,6,113,0,4
2,3,5,6,153,0,4
1,3,6,7,158,0,4
3,1,10,2,216,1,4
1,2,5,8,144,0,4
0,2,4,2,130,0,4
1,7,5,9,83,1,4
2,7,3,18,51,0,4
32,32,17,21,21,136,5
27,36,11,35,57,128,5
32,37,13,17,26,101,5
36,34,21,21,18,115,5
17,22,10,20,31,71,5
30,51,20,32,56,89,5
40,75,17,36,43,122,5
35,66,19,27,32,123,5
29,42,24,21,40,128,5
45,42,22,30,38,86,5
40,37,25,27,29,107,5
44,47,15,18,31,150,5
82,184,18,97,42,290,5
10,18,24,33,0,117,6
15,21,28,31,4,96,6
16,18,17,35,10,80,6
16,31,12,18,9,127,6
25,9,19,31,6,139,6
23,26,17,19,0,158,6
21,31,7,19,0,157,6
23,27,19,25,9,214,6
33,26,15,27,14,208,6
25,65,13,24,17,261,6
36,62,14,37,18,248,6
44,88,12,39,23,312,6
61,97,17,118,31,319,6
21,8,20,42,13,122,7
18,12,14,39,37,115,7
9,8,17,32,35,92,7
11,7,14,17,18,104,7
13,10,11,16,20,86,7
15,9,16,14,9,58,7
14,21,19,10,14,87,7
22,15,20,13,42,115,7
20,15,13,20,20,78,7
36,30,12,27,30,117,7
32,19,12,20,26,117,7
20,17,10,19,14,135,7
17,38,22,44,16,109,7
21,8,11,22,29,67,8
19,9,11,10,12,57,8
17,5,10,7,13,34,8
7,6,14,2,18,31,8
14,6,17,2,17,35,8
32,7,13,17,12,53,8
19,18,12,14,15,95,8
38,23,18,21,15,73,8
35,30,11,33,49,97,8
29,26,17,27,20,88,8
37,28,15,15,13,91,8
34,40,17,27,0,114,8
38,73,9,69,34,121,8
16,8,9,19,0,105,9
7,4,6,11,0,98,9
15,2,8,14,0,125,9
18,9,9,13,0,136,9
19,9,6,9,0,115,9
25,6,9,14,0,149,9
14,10,14,26,0,178,9
14,16,13,14,0,150,9
24,16,13,20,0,187,9
28,20,11,15,0,112,9
20,17,8,18,0,119,9
18,20,6,15,0,127,9
26,72,4,39,11,146,9
44,10,18,28,2,97,10
37,8,11,25,0,115,10
27,14,14,18,1,173,10
31,12,15,23,0,242,10
50,19,14,39,2,236,10
51,23,13,35,1,214,10
47,13,13,28,0,169,10
50,23,17,31,21,124,10
48,40,17,32,21,225,10
52,20,21,29,22,231,10
62,18,18,25,26,166,10
63,41,23,50,28,204,10
72,218,12,181,21,213,10
31,14,10,28,8,68,11
15,14,7,20,14,88,11
23,7,12,23,18,92,11
21,5,15,28,20,120,11
24,9,5,24,15,99,11
34,15,5,10,37,116,11
21,13,11,11,16,99,11
41,24,12,11,27,72,11
43,47,5,20,29,101,11
36,26,13,9,24,79,11
29,30,7,22,20,68,11
25,30,11,20,27,110,11
25,56,8,70,26,137,11
11,8,8,19,0,23,12
16,9,3,22,0,19,12
10,9,4,12,0,27,12
20,11,8,18,0,36,12
15,9,6,13,0,20,12
17,16,10,32,0,41,12
10,22,14,17,0,47,12
21,20,16,17,0,73,12
10,19,10,13,0,58,12
28,36,7,25,0,86,12
26,38,11,22,0,85,12
14,18,10,26,0,78,12
28,53,9,81,48,84,12
34,3,7,12,5,112,13
35,4,8,24,7,124,13
44,18,13,18,14,153,13
29,13,7,6,6,114,13
16,12,5,11,3,181,13
28,19,5,12,5,150,13
28,23,7,9,3,119,13
50,15,5,15,7,168,13
68,33,10,46,7,198,13
26,17,5,21,0,47,14
15,17,9,21,34,54,14
29,23,15,25,33,89,14
33,25,12,23,0,88,14
41,27,14,30,0,89,14
