@relation PUNJAB

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,
4,5,6,7,
8,9,10,11,
12,13,14,15,
16,17,18,19,
20,21,22,23,
24,25,26,27}

@data
9,26,7,9,0,77,0
5,23,9,14,0,74,0
11,25,4,9,0,50,0
25,23,7,9,0,54,0
5,14,2,6,0,44,0
13,19,5,6,0,55,0
21,46,5,20,6,78,0
10,24,1,9,5,17,0
15,44,6,25,11,66,0
15,37,7,15,6,85,0
16,25,2,13,1,53,0
24,43,10,10,4,87,0
16,20,1,16,0,58,0
20,34,4,7,1,101,0
18,30,8,12,0,49,0
27,45,5,14,0,105,0
12,13,6,13,0,24,1
11,5,3,8,0,25,1
15,7,2,12,0,52,1
13,2,0,5,0,18,1
11,1,3,11,0,12,1
5,3,1,7,0,6,1
7,3,5,8,0,12,1
12,6,1,11,0,10,1
13,5,1,6,0,7,1
12,2,1,7,0,15,1
5,5,3,6,0,10,1
25,8,2,4,0,14,1
17,37,2,11,0,17,1
8,4,6,1,0,19,2
14,8,7,5,0,32,2
13,9,6,6,0,28,2
8,5,2,5,0,14,2
24,11,7,7,0,34,2
31,14,5,15,0,44,2
15,16,2,18,0,54,2
20,13,6,9,0,46,2
21,10,4,11,0,40,2
26,23,4,16,0,31,2
13,14,4,8,0,35,2
25,20,4,10,0,19,2
31,29,1,26,0,35,2
13,9,4,15,0,57,3
14,25,5,25,5,36,3
15,16,1,20,2,36,3
22,16,5,23,0,40,3
30,21,2,23,1,45,3
19,22,5,22,1,45,3
27,29,6,25,3,33,3
20,28,4,29,5,39,3
32,29,5,16,1,43,3
29,30,3,36,1,31,3
37,20,5,11,1,49,3
44,31,6,19,0,55,3
52,48,4,57,2,89,3
6,7,4,11,0,20,4
6,8,5,6,0,23,4
10,5,2,8,0,49,4
13,13,1,9,1,19,4
6,2,1,10,0,9,4
9,5,5,25,1,19,4
13,11,2,19,0,28,4
15,10,1,9,0,16,4
17,6,3,9,0,21,4
10,5,3,2,0,32,4
8,6,1,10,0,20,4
17,18,2,11,1,20,4
20,17,3,29,0,21,4
11,6,4,4,1,7,5
0,6,5,5,1,4,5
9,4,1,2,2,14,5
4,4,4,10,1,14,5
