,District,Cluster0,Cluster1,Cluster2,Cluster3
0,BUNDI,0,3,8,1
1,JAISALMER,2,6,0,5
2,BHILWARA,0,3,2,7
3,LUDHIANA,2,4,4,5
4,GURDASPUR,4,0,3,2
5,TONK,1,4,5,3
6,CHITTORGRAH,0,4,0,9
7,SHAHEED BHAGAT SINGH NAGAR,0,1,1,1
8,KARNAL,0,0,3,6
9,JALANDHAR,7,3,2,0
10,BIKANER,1,0,1,0
11,UDAIPUR,9,2,1,0
12,ALWAR,2,1,3,2
13,ROHTAK,8,1,1,0
14,HAMUNANGARH,0,4,0,8
15,PATIALA,0,4,7,2
16,CHURU,1,6,0,4
17,JALOR,3,3,5,1
18,JODHPUR,0,2,8,4
19,SIKAR,8,4,1,0
20,BARMER,6,2,1,0
21,AJMER ,0,3,3,5
22,FAZILKA,1,0,0,0
23,BARNALA,3,2,3,3
24,FARIDABAD,6,0,1,0
25,MAHENDRAGARH,0,3,3,7
26,SAHIBZADA AJIT SINGH NAGAR,0,0,4,4
27,AMRITSAR,4,5,2,4
28,KURUKSHETRA,0,3,1,8
29,RAJSAMAND,0,5,0,8
30,NUH,1,3,2,2
31,JHALAWAR,0,7,2,3
32,KOTA,1,5,0,12
33,PANCHKULA,4,0,0,0
34,YAMUNANAGAR,0,7,1,5
35,SRI GANGANAGAR,0,2,5,3
36,KAPURTHALA,0,0,1,6
37,SANGRUR,2,4,4,3
38,NAGUAR,2,4,4,2
39,SIROHI,0,1,9,0
40,KAITHAL,3,4,4,2
41,PRATAPGARH,0,0,4,2
42,DAUSA,3,1,6,0
43,JHUNJHUNUN,3,4,4,2
44,JHAJJAR,5,1,2,2
45,PANIPAT,0,2,6,2
46,TARN TARAN,0,4,7,1
47,MUKTSAR,5,3,4,1
48,FATEGARH SAHIB,2,1,3,5
49,DHAULPUR ,0,3,9,0
50,FATEHABAD,0,2,3,6
51,DUNGAPUR,5,1,0,0
52,PALWAL,3,3,0,0
53,BANASWARA,1,3,0,2
54,PATHANKOT,0,2,0,0
55,GURUGRAM,0,6,2,5
56,JIND,1,0,5,4
57,BATHINDA,1,4,7,1
58,JAIPUR,12,8,7,2
59,RUPNAGAR,0,3,9,1
60,FARIDKOT,0,5,4,4
61,FIROZPUR,1,0,2,0
62,BHARATPUR,0,1,6,3
63,MANSA,2,0,6,0
64,AMBALA,2,0,0,0
65,BHIWANI,4,0,0,0
66,HISAR,2,5,4,3
67,PALI,2,0,0,3
68,REWARI,5,1,4,0
69,BARAN,0,4,2,7
70,MOGA,0,3,0,8
71,HOSHIARPUR,0,3,7,3
72,KARAULI,5,4,2,0
73,SIRSA,0,3,3,5
74,SAWAI MADHOPUR,1,4,6,2
75,SONIPAT,0,10,0,3
