,District,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
0,BUNDI,0,0,3,7,2
1,JAISALMER,0,2,5,0,6
2,BHILWARA,1,0,1,5,6
3,LUDHIANA,2,5,7,2,1
4,GURDASPUR,2,6,0,5,0
5,TONK,0,2,7,2,2
6,CHITTORGRAH,3,0,0,1,9
7,SHAHEED BHAGAT SINGH NAGAR,2,2,1,0,1
8,KARNAL,2,2,1,3,5
9,JALANDHAR,3,4,5,3,0
10,BIKANER,1,0,2,0,0
11,UDAIPUR,0,0,9,0,1
12,ALWAR,3,3,4,0,0
13,ROHTAK,1,7,2,0,1
14,HAMUNANGARH,0,0,3,0,10
15,PATIALA,3,0,7,3,0
16,CHURU,5,6,1,0,1
17,JALOR,2,1,8,1,1
18,JODHPUR,0,1,5,5,6
19,SIKAR,1,8,1,0,3
20,BARMER,4,7,1,0,0
21,AJMER ,3,2,1,1,6
22,FAZILKA,0,2,0,0,0
23,BARNALA,0,3,7,0,3
24,FARIDABAD,3,7,0,0,0
25,MAHENDRAGARH,1,1,4,1,6
26,SAHIBZADA AJIT SINGH NAGAR,1,2,2,1,2
27,AMRITSAR,5,6,3,0,2
28,KURUKSHETRA,0,0,2,1,10
29,RAJSAMAND,0,0,0,0,13
30,NUH,2,1,5,1,0
31,JHALAWAR,4,0,2,1,6
32,KOTA,4,1,0,3,13
33,PANCHKULA,0,4,0,0,1
34,YAMUNANAGAR,2,1,2,0,8
35,SRI GANGANAGAR,0,2,2,5,4
36,KAPURTHALA,2,2,2,0,5
37,SANGRUR,1,7,3,0,2
38,NAGUAR,2,1,0,4,6
39,SIROHI,0,5,6,2,0
40,KAITHAL,1,0,5,3,4
41,PRATAPGARH,0,0,1,4,1
42,DAUSA,1,2,9,1,0
43,JHUNJHUNUN,5,0,3,3,1
44,JHAJJAR,2,4,6,0,0
45,PANIPAT,0,0,2,5,3
46,TARN TARAN,3,0,5,3,2
47,MUKTSAR,3,5,4,0,1
48,FATEGARH SAHIB,3,5,3,0,2
49,DHAULPUR ,0,0,0,8,5
50,FATEHABAD,1,0,0,3,8
51,DUNGAPUR,1,4,5,0,1
52,PALWAL,3,3,2,0,0
53,BANASWARA,2,3,2,0,1
54,PATHANKOT,3,0,1,0,0
55,GURUGRAM,1,1,2,1,8
56,JIND,3,1,1,7,1
57,BATHINDA,1,0,4,6,2
58,JAIPUR,7,4,12,2,4
59,RUPNAGAR,0,0,5,6,2
60,FARIDKOT,1,1,6,1,4
61,FIROZPUR,0,3,1,0,0
62,BHARATPUR,1,1,2,6,3
63,MANSA,3,2,5,3,0
64,AMBALA,1,2,0,0,0
65,BHIWANI,0,6,0,0,0
66,HISAR,1,1,9,1,2
67,PALI,4,4,0,0,3
68,REWARI,1,1,11,0,0
69,BARAN,4,1,2,1,5
70,MOGA,1,0,0,0,12
71,HOSHIARPUR,0,0,0,9,4
72,KARAULI,3,4,2,0,4
73,SIRSA,1,0,1,2,8
74,SAWAI MADHOPUR,0,1,4,4,4
75,SONIPAT,0,0,0,0,13
