@RELATION combined

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,63,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207}


@data
16,125,12,95,0,236,0
27,124,23,65,0,285,0
36,95,17,75,0,284,0
48,101,8,78,0,371,0
26,89,11,61,3,339,0
53,90,9,114,1,405,0
31,65,19,105,3,515,0
45,84,17,108,0,516,0
47,69,17,64,1,546,0
47,86,12,81,0,615,0
70,108,15,105,0,709,0
70,76,13,72,0,668,0
100,155,16,166,1,863,0
34,87,43,124,0,235,1
44,89,42,115,1,250,1
50,60,42,114,0,274,1
43,67,30,98,0,276,1
52,61,31,110,0,297,1
81,68,36,111,0,314,1
73,65,43,141,1,391,1
88,91,38,134,0,429,1
101,128,35,139,0,516,1
105,138,42,122,0,588,1
99,143,53,136,0,556,1
129,154,47,135,0,655,1
316,253,42,288,0,707,1
90,59,10,112,1,151,2
74,50,10,92,1,85,2
53,51,3,89,2,100,2
20,51,7,92,4,86,2
29,29,7,83,1,56,2
27,36,5,79,3,93,2
39,42,4,55,1,100,2
42,45,8,66,1,85,2
40,49,3,43,0,143,2
61,53,8,47,1,151,2
55,95,6,59,2,190,2
56,87,4,49,3,237,2
117,105,13,108,0,205,2
81,94,3,219,5,124,3
51,88,6,188,4,160,3
50,66,3,175,10,187,3
50,63,3,164,5,163,3
45,39,3,121,0,212,3
37,40,5,114,2,169,3
43,28,8,112,1,194,3
52,45,10,169,0,181,3
55,84,9,130,1,289,3
48,72,9,129,2,267,3
60,88,10,158,1,351,3
69,84,7,185,2,313,3
66,102,1,208,0,289,3
48,103,24,77,0,209,4
59,79,27,29,0,227,4
41,68,30,55,0,228,4
44,91,16,52,0,295,4
46,58,35,44,0,220,4
35,66,16,40,0,274,4
62,83,30,41,1,360,4
74,75,24,39,0,371,4
82,131,35,39,0,437,4
83,152,33,38,0,437,4
69,139,29,85,0,478,4
108,168,32,79,0,567,4
164,201,34,156,0,574,4
35,34,13,53,0,153,5
24,21,13,34,0,142,5
27,28,14,50,0,164,5
41,25,23,48,0,190,5
30,20,12,67,0,199,5
29,27,16,63,0,287,5
32,33,18,76,0,307,5
48,28,12,74,0,306,5
37,36,11,83,0,353,5
41,34,18,58,0,354,5
55,25,17,54,0,446,5
67,35,16,31,0,546,5
100,71,18,63,0,516,5
42,222,5,126,3,312,6
46,164,4,134,6,339,6
42,112,6,111,0,286,6
44,118,11,121,6,342,6
39,102,14,87,0,293,6
40,76,9,81,0,221,6
48,47,10,80,1,329,6
42,58,13,77,0,370,6
52,87,7,97,0,518,6
48,130,3,74,1,593,6
52,74,16,90,0,558,6
59,70,10,98,0,609,6
101,107,8,135,0,652,6
13,14,13,71,0,45,7
24,16,8,83,0,66,7
16,15,17,72,0,63,7
14,15,9,95,0,69,7
19,20,13,86,0,72,7
12,21,7,85,0,74,7
19,24,9,78,0,103,7
20,21,14,82,0,116,7
31,29,14,96,0,150,7
34,33,18,71,0,194,7
21,34,27,36,0,201,7
21,35,20,59,0,237,7
55,25,21,190,0,274,7
