@RELATION comb2_new2

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186}

@data
11,32,11,27,0,132,0
15,18,7,17,0,122,0
10,24,7,17,31,129,0
10,22,11,25,27,227,0
19,19,9,19,16,130,0
19,16,9,26,27,174,0
23,10,16,11,15,154,0
35,49,11,27,21,172,0
28,16,14,18,17,155,0
30,23,9,20,14,220,0
37,23,5,28,20,191,0
10,7,33,17,0,43,1
17,13,35,29,0,54,1
15,7,28,17,0,69,1
28,12,28,19,0,68,1
18,22,19,20,16,87,1
35,26,19,38,8,100,1
17,23,17,23,15,128,1
33,36,14,24,20,111,1
37,53,17,37,21,88,1
30,36,22,45,15,64,1
41,30,18,26,12,97,1
28,69,19,45,23,179,1
52,118,20,97,36,144,1
37,53,19,47,242,108,2
37,39,19,56,1122,92,2
36,49,14,34,980,136,2
42,49,28,45,585,157,2
39,67,18,42,253,188,2
40,66,14,35,144,146,2
37,117,19,23,0,167,2
46,94,21,23,97,173,2
35,62,17,26,4,179,2
51,86,23,27,78,224,2
54,82,10,31,59,218,2
47,87,8,31,84,197,2
65,115,22,90,56,255,2
17,13,17,17,0,93,3
7,15,9,22,5,54,3
7,7,3,11,4,47,3
9,9,6,17,3,38,3
9,15,5,17,8,66,3
18,5,6,17,7,83,3
7,8,2,16,12,122,3
12,21,4,16,13,143,3
9,34,12,10,7,80,3
21,31,5,13,9,79,3
15,18,7,6,8,86,3
15,33,4,7,7,125,3
30,41,2,46,25,193,3
32,32,17,21,21,136,4
27,36,11,35,57,128,4
32,37,13,17,26,101,4
36,34,21,21,18,115,4
17,22,10,20,31,71,4
30,51,20,32,56,89,4
40,75,17,36,43,122,4
35,66,19,27,32,123,4
29,42,24,21,40,128,4
45,42,22,30,38,86,4
40,37,25,27,29,107,4
44,47,15,18,31,150,4
82,184,18,97,42,290,4
10,18,24,33,0,117,5
15,21,28,31,4,96,5
16,18,17,35,10,80,5
16,31,12,18,9,127,5
25,9,19,31,6,139,5
23,26,17,19,0,158,5
21,31,7,19,0,157,5
23,27,19,25,9,214,5
33,26,15,27,14,208,5
25,65,13,24,17,261,5
36,62,14,37,18,248,5
44,88,12,39,23,312,5
61,97,17,118,31,319,5
21,8,20,42,13,122,6
18,12,14,39,37,115,6
9,8,17,32,35,92,6
11,7,14,17,18,104,6
13,10,11,16,20,86,6
15,9,16,14,9,58,6
14,21,19,10,14,87,6
22,15,20,13,42,115,6
20,15,13,20,20,78,6
36,30,12,27,30,117,6
32,19,12,20,26,117,6
20,17,10,19,14,135,6
17,38,22,44,16,109,6
21,8,11,22,29,67,7
19,9,11,10,12,57,7
17,5,10,7,13,34,7
7,6,14,2,18,31,7
14,6,17,2,17,35,7
32,7,13,17,12,53,7
19,18,12,14,15,95,7
38,23,18,21,15,73,7
35,30,11,33,49,97,7
29,26,17,27,20,88,7
37,28,15,15,13,91,7
34,40,17,27,0,114,7
38,73,9,69,34,121,7
16,8,9,19,0,105,8
7,4,6,11,0,98,8
15,2,8,14,0,125,8
18,9,9,13,0,136,8
19,9,6,9,0,115,8
25,6,9,14,0,149,8
14,10,14,26,0,178,8
14,16,13,14,0,150,8
24,16,13,20,0,187,8
28,20,11,15,0,112,8
20,17,8,18,0,119,8
18,20,6,15,0,127,8
26,72,4,39,11,146,8
44,10,18,28,2,97,9
37,8,11,25,0,115,9
27,14,14,18,1,173,9
31,12,15,23,0,242,9
50,19,14,39,2,236,9
51,23,13,35,1,214,9
47,13,13,28,0,169,9
50,23,17,31,21,124,9
48,40,17,32,21,225,9
52,20,21,29,22,231,9
62,18,18,25,26,166,9
63,41,23,50,28,204,9
72,218,12,181,21,213,9
31,14,10,28,8,68,10
15,14,7,20,14,88,10
23,7,12,23,18,92,10
21,5,15,28,20,120,10
24,9,5,24,15,99,10
34,15,5,10,37,116,10
21,13,11,11,16,99,10
41,24,12,11,27,72,10
43,47,5,20,29,101,10
36,26,13,9,24,79,10
29,30,7,22,20,68,10
25,30,11,20,27,110,10
25,56,8,70,26,137,10
11,8,8,19,0,23,11
16,9,3,22,0,19,11
10,9,4,12,0,27,11
20,11,8,18,0,36,11
15,9,6,13,0,20,11
17,16,10,32,0,41,11
10,22,14,17,0,47,11
21,20,16,17,0,73,11
10,19,10,13,0,58,11
28,36,7,25,0,86,11
26,38,11,22,0,85,11
14,18,10,26,0,78,11
28,53,9,81,48,84,11
34,3,7,12,5,112,12
35,4,8,24,7,124,12
44,18,13,18,14,153,12
