@RELATION comb2_new2

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL

@DATA
Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Year,DISTRICT
11,32,11,27,0,132,1,0
15,18,7,17,0,122,2,0
10,24,7,17,31,129,3,0
10,22,11,25,27,227,4,0
19,19,9,19,16,130,5,0
19,16,9,26,27,174,6,0
23,10,16,11,15,154,7,0
35,49,11,27,21,172,8,0
28,16,14,18,17,155,9,0
30,23,9,20,14,220,10,0
37,23,5,28,20,191,11,0
10,7,33,17,0,43,1,1
17,13,35,29,0,54,2,1
15,7,28,17,0,69,3,1
28,12,28,19,0,68,4,1
18,22,19,20,16,87,5,1
35,26,19,38,8,100,6,1
17,23,17,23,15,128,7,1
33,36,14,24,20,111,8,1
37,53,17,37,21,88,9,1
30,36,22,45,15,64,10,1
41,30,18,26,12,97,11,1
28,69,19,45,23,179,12,1
52,118,20,97,36,144,13,1
37,53,19,47,242,108,1,2
37,39,19,56,1122,92,2,2
36,49,14,34,980,136,3,2
42,49,28,45,585,157,4,2
39,67,18,42,253,188,5,2
40,66,14,35,144,146,6,2
37,117,19,23,0,167,7,2
46,94,21,23,97,173,8,2
35,62,17,26,4,179,9,2
51,86,23,27,78,224,10,2
54,82,10,31,59,218,11,2
47,87,8,31,84,197,12,2
65,115,22,90,56,255,13,2
17,13,17,17,0,93,1,3
7,15,9,22,5,54,2,3
7,7,3,11,4,47,3,3
9,9,6,17,3,38,4,3
9,15,5,17,8,66,5,3
18,5,6,17,7,83,6,3
7,8,2,16,12,122,7,3
12,21,4,16,13,143,8,3
9,34,12,10,7,80,9,3
21,31,5,13,9,79,10,3
15,18,7,6,8,86,11,3
15,33,4,7,7,125,12,3
30,41,2,46,25,193,13,3
32,32,17,21,21,136,1,4
27,36,11,35,57,128,2,4
32,37,13,17,26,101,3,4
36,34,21,21,18,115,4,4
17,22,10,20,31,71,5,4
30,51,20,32,56,89,6,4
40,75,17,36,43,122,7,4
35,66,19,27,32,123,8,4
29,42,24,21,40,128,9,4
45,42,22,30,38,86,10,4
40,37,25,27,29,107,11,4
44,47,15,18,31,150,12,4
82,184,18,97,42,290,13,4
10,18,24,33,0,117,1,5
15,21,28,31,4,96,2,5
16,18,17,35,10,80,3,5
16,31,12,18,9,127,4,5
25,9,19,31,6,139,5,5
23,26,17,19,0,158,6,5
21,31,7,19,0,157,7,5
23,27,19,25,9,214,8,5
33,26,15,27,14,208,9,5
25,65,13,24,17,261,10,5
36,62,14,37,18,248,11,5
44,88,12,39,23,312,12,5
61,97,17,118,31,319,13,5
21,8,20,42,13,122,1,6
18,12,14,39,37,115,2,6
9,8,17,32,35,92,3,6
11,7,14,17,18,104,4,6
13,10,11,16,20,86,5,6
15,9,16,14,9,58,6,6
14,21,19,10,14,87,7,6
22,15,20,13,42,115,8,6
20,15,13,20,20,78,9,6
36,30,12,27,30,117,10,6
32,19,12,20,26,117,11,6
20,17,10,19,14,135,12,6
17,38,22,44,16,109,13,6
21,8,11,22,29,67,1,7
19,9,11,10,12,57,2,7
17,5,10,7,13,34,3,7
7,6,14,2,18,31,4,7
14,6,17,2,17,35,5,7
32,7,13,17,12,53,6,7
19,18,12,14,15,95,7,7
38,23,18,21,15,73,8,7
35,30,11,33,49,97,9,7
29,26,17,27,20,88,10,7
37,28,15,15,13,91,11,7
34,40,17,27,0,114,12,7
38,73,9,69,34,121,13,7
16,8,9,19,0,105,1,8
7,4,6,11,0,98,2,8
15,2,8,14,0,125,3,8
18,9,9,13,0,136,4,8
19,9,6,9,0,115,5,8
25,6,9,14,0,149,6,8
14,10,14,26,0,178,7,8
14,16,13,14,0,150,8,8
24,16,13,20,0,187,9,8
28,20,11,15,0,112,10,8
20,17,8,18,0,119,11,8
18,20,6,15,0,127,12,8
26,72,4,39,11,146,13,8
44,10,18,28,2,97,1,9
37,8,11,25,0,115,2,9
27,14,14,18,1,173,3,9
31,12,15,23,0,242,4,9
50,19,14,39,2,236,5,9
51,23,13,35,1,214,6,9
47,13,13,28,0,169,7,9
50,23,17,31,21,124,8,9
48,40,17,32,21,225,9,9
52,20,21,29,22,231,10,9
62,18,18,25,26,166,11,9
63,41,23,50,28,204,12,9
72,218,12,181,21,213,13,9
31,14,10,28,8,68,1,10
15,14,7,20,14,88,2,10
23,7,12,23,18,92,3,10
