@RELATION gujarath

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33}

@data

39,117,7,54,27,530,0
116,353,20,180,8,1756,0
5,27,0,26,0,84,0
17,62,0,33,0,167,0
1,1,0,2,0,2,1
4,5,0,7,1,20,1
2,34,2,21,0,94,2
11,60,0,16,2,157,2
3,28,0,27,3,210,3
12,70,1,20,4,162,3
4,34,0,19,0,56,4
23,41,0,30,0,53,4
9,51,2,36,7,129,5
17,100,1,50,7,220,5
0,1,0,0,0,0,6
5,15,0,17,0,11,7
14,75,0,15,0,1,7
4,12,3,37,7,116,8
22,61,0,31,6,200,8
17,29,4,51,0,165,9
14,74,0,33,8,304,9
20,22,2,18,2,163,10
27,46,1,26,3,480,10
14,39,11,44,8,384,11
29,76,1,52,12,461,11
11,30,0,43,0,122,12
14,64,0,21,1,148,12
2,22,2,25,1,176,13
25,41,0,34,0,249,14
28,26,0,29,0,200,15
4,49,5,47,1,188,16
11,124,0,37,0,321,16
8,8,0,7,1,9,17
7,21,0,15,0,10,17
2,5,0,6,0,17,18
9,31,0,13,1,88,18
18,35,2,50,2,152,19
62,94,0,96,3,377,19
5,46,0,1,23,43,20
16,96,0,46,0,217,20
3,21,0,23,0,78,21
19,74,0,47,1,174,21
6,5,0,10,0,64,22
6,14,0,6,0,79,22
5,38,3,19,12,199,23
14,47,1,18,4,254,23
20,35,2,45,3,206,24
30,74,1,41,2,404,24
11,37,20,10,1,132,25
76,195,2,91,0,491,25
26,16,0,11,0,34,26
19,27,1,15,0,114,26
11,24,2,45,3,75,27
18,66,0,51,7,133,27
8,17,0,13,0,12,28
3,32,0,11,10,90,29
19,68,0,107,7,417,29
18,34,0,34,0,81,29
25,71,0,29,0,110,29
9,11,0,10,0,50,30
19,49,0,33,0,28,30
1,0,0,7,0,7,31
0,5,0,2,0,5,32
1,2,0,6,0,0,33
