@RELATION up


@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76}

@data
66,132,63,110,114,327,0
78,335,98,239,0,399,0
50,78,44,90,54,258,1
99,346,73,300,0,455,1
42,75,56,85,105,226,2
102,239,66,215,0,322,2
19,29,14,15,9,87,3
15,55,17,16,0,4,3
38,110,16,83,0,35,4
23,92,16,57,0,171,5
11,25,21,13,7,26,6
16,70,28,38,0,68,6
11,41,32,14,15,81,7
39,135,36,20,0,155,7
47,41,62,51,14,76,8
54,128,58,102,0,58,8
15,17,20,18,12,64,9
25,72,12,56,0,106,9
14,19,19,15,17,62,10
35,140,42,44,0,1,10
18,17,19,7,22,35,11
18,123,24,107,0,4,11
8,19,12,23,11,30,12
23,65,7,24,0,8,12
27,18,21,51,18,50,13
47,113,32,151,0,129,13
41,55,35,37,21,188,14
39,78,26,39,0,98,14
93,98,57,110,40,421,15
84,291,58,198,0,257,15
18,23,22,28,12,48,16
24,80,11,53,0,44,16
38,59,31,67,38,230,17
71,149,31,178,1,6,17
31,64,45,71,219,227,18
97,255,52,197,2,162,18
4,11,16,13,0,22,19
20,46,16,68,1,0,19
8,3,8,16,4,2,20
23,22,14,35,0,7,20
7,33,27,15,15,44,21
44,145,37,87,0,27,21
57,59,68,68,24,156,22
34,101,32,122,1,99,22
20,22,29,25,26,52,23
23,74,30,30,0,62,23
22,26,17,24,18,49,24
35,135,11,79,1,7,24
9,38,22,23,28,93,25
25,95,34,30,0,38,25
28,27,46,25,15,59,26
42,112,39,87,0,80,26
22,59,48,33,69,89,27
39,187,66,112,0,165,27
2,2,1,18,71,1,28
3,28,3,84,0,1,28
16,30,17,39,40,54,29
39,150,31,136,6,164,29
31,79,33,54,138,140,30
84,289,44,233,0,491,30
6,19,22,18,29,56,31
22,93,27,59,1,76,31
18,21,26,19,13,46,32
24,149,32,62,0,4,32
13,52,16,25,36,52,33
87,282,39,111,0,95,33
14,16,22,32,7,25,34
50,68,15,117,5,0,34
35,71,21,75,0,52,35
70,60,63,86,21,136,36
28,130,24,131,0,122,36
16,26,31,63,26,93,37
37,86,21,73,0,76,37
23,36,14,35,22,98,38
6,14,29,40,21,65,39
7,52,22,52,0,33,39
11,15,43,21,19,85,40
53,131,60,75,0,77,40
18,20,31,32,30,69,41
40,74,24,72,1,65,41
8,19,22,18,7,63,42
16,84,26,40,0,59,42
21,34,39,45,7,79,43
29,74,32,45,0,67,43
47,176,64,106,213,356,44
41,248,56,110,0,239,44
17,89,24,43,0,27,45
26,23,28,44,9,72,46
27,56,22,108,0,67,46
83,90,88,99,24,138,47
49,189,57,85,0,152,47
7,20,18,19,35,14,48
33,143,29,66,0,48,48
20,5,10,26,9,31,49
10,26,11,50,0,18,49
62,138,47,103,148,337,50
76,375,60,360,1,920,50
13,13,7,13,37,10,51
28,116,23,40,0,58,51
12,7,11,22,3,4,52
30,45,16,61,0,26,52
13,31,42,32,3,63,53
20,142,38,92,0,94,53
25,33,21,48,50,77,54
59,138,32,99,0,196,54
17,25,16,33,27,39,55
26,94,11,53,1,94,55
28,96,34,59,123,236,56
109,282,42,277,0,209,56
16,6,23,16,21,39,57
5,8,19,5,0,30,57
44,72,45,79,85,207,58
69,173,27,156,1,299,58
54,67,24,51,33,265,59
49,214,25,125,0,270,59
64,47,44,50,20,195,60
30,91,35,67,0,125,60
18,35,33,21,9,44,61
66,157,30,151,0,39,61
58,50,29,57,17,137,62
43,104,23,66,0,72,62
22,27,18,11,0,49,63
26,93,19,46,0,119,63
41,52,21,45,96,196,64
34,137,34,90,0,198,64
42,112,30,94,0,88,65
9,16,7,11,6,26,66
23,60,5,17,0,8,66
55,68,66,61,21,146,67
36,116,43,104,0,142,67
34,87,11,66,0,52,68
13,18,4,16,8,18,69
21,50,18,53,0,0,69
12,24,13,20,3,28,70
17,59,8,26,0,33,70
85,47,82,71,35,106,71
95,256,63,211,0,130,71
5,6,12,9,4,5,72
32,17,13,22,0,12,72
1,7,9,3,3,23,73
10,18,13,15,0,19,73
29,35,38,34,17,153,74
29,107,15,87,0,111,74
53,79,63,100,12,168,75
41,173,44,119,0,190,75
27,35,31,19,90,119,76
57,208,36,207,3,347,76
